               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071265,            0.028907,                   0,              0.6698,                0.88,              0.8911,             0.55976,            0.051783,            0.015077,                   0,            0.070341,           0.0032955,           0.0032955
                   1,            0.052041,            0.021706,                   0,             0.53998,             0.89211,             0.66869,             0.24592,            0.059857,           0.0097817,                   0,            0.040122,             0.00641,             0.00641
                   2,            0.050689,            0.016706,                   0,                   1,             0.97831,             0.98639,             0.69791,            0.030876,           0.0090307,                   0,           0.0096834,           0.0093046,           0.0093046
                   3,            0.045999,            0.013605,                   0,             0.89227,             0.92667,              0.9639,              0.4292,            0.041314,           0.0060556,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.041501,            0.010795,                   0,             0.97537,             0.98667,             0.99357,             0.74402,            0.026053,           0.0051379,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.037309,           0.0089527,                   0,             0.98329,             0.98667,             0.99474,             0.45184,            0.045311,           0.0042261,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.032572,           0.0074648,                   0,             0.98718,                   1,              0.9946,             0.72223,            0.025234,           0.0038095,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.030458,           0.0071841,                   0,             0.99917,                   1,               0.995,             0.76643,            0.023332,           0.0037994,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.027231,           0.0067707,                   0,             0.99924,                   1,               0.995,             0.79716,            0.019101,           0.0035375,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.026704,           0.0064329,                   0,             0.99338,             0.99975,               0.995,             0.73147,            0.025937,           0.0034881,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.024914,           0.0061389,                   0,             0.99934,                   1,               0.995,             0.84941,            0.013247,           0.0032013,                   0,             0.00703,             0.00703,             0.00703
                  11,             0.02349,           0.0059424,                   0,             0.99938,                   1,               0.995,              0.7566,            0.017115,           0.0032188,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.021583,           0.0059438,                   0,             0.99946,                   1,               0.995,             0.78583,            0.018075,           0.0031281,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.020227,            0.005416,                   0,             0.99946,                   1,               0.995,             0.80857,             0.01776,           0.0029372,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019794,           0.0054475,                   0,             0.99951,                   1,               0.995,             0.88021,            0.011325,           0.0028656,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.018169,           0.0051558,                   0,             0.99953,                   1,               0.995,             0.88067,             0.01642,           0.0028661,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.017634,           0.0050618,                   0,             0.99941,                   1,               0.995,             0.87141,             0.01182,           0.0027666,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.016479,           0.0046572,                   0,             0.99948,                   1,               0.995,             0.89105,             0.01411,           0.0028275,                   0,             0.00472,             0.00472,             0.00472
                  18,              0.0154,           0.0046569,                   0,             0.99947,                   1,               0.995,             0.89384,            0.012797,           0.0025288,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.01454,           0.0043142,                   0,              0.9995,                   1,               0.995,             0.91356,            0.010092,           0.0024547,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.013783,           0.0043669,                   0,             0.99951,                   1,               0.995,             0.87064,            0.012123,           0.0028028,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.013039,           0.0044391,                   0,             0.99954,                   1,               0.995,             0.94164,            0.010572,           0.0023155,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.012385,           0.0041818,                   0,             0.99951,                   1,               0.995,             0.91491,            0.010705,           0.0023592,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.011344,           0.0040064,                   0,             0.99952,                   1,               0.995,             0.91493,            0.010759,           0.0023741,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.010849,           0.0040243,                   0,             0.99952,                   1,               0.995,              0.9287,           0.0078025,           0.0023823,                   0,             0.00241,             0.00241,             0.00241
                  25,           0.0096936,           0.0036497,                   0,             0.99954,                   1,               0.995,             0.90725,           0.0089164,           0.0023351,                   0,             0.00208,             0.00208,             0.00208
                  26,           0.0095909,            0.003898,                   0,             0.99958,                   1,               0.995,             0.92813,           0.0087441,           0.0021907,                   0,             0.00175,             0.00175,             0.00175
